Municipio,Populacao
Rio de Janeiro,6747815
São Gonçalo,1091737
Duque de Caxias,924624
Nova Iguaçu,823302
Niterói,515317
Belford Roxo,513118
Campos dos Goytacazes,511168
São João de Meriti,472906
Petrópolis,306678
Volta Redonda,273988
Macaé,261501
Magé,246433
Itaboraí,242543
Cabo Frio,230378
Angra dos Reis,207044
Nova Friburgo,191158
Barra Mansa,184833
Teresópolis,184240
Mesquita,176569
Maricá,164504
Nilópolis,162693
Rio das Ostras,155193
Queimados,151335
Itaguaí,134819
Araruama,134293
Resende,132293
São Pedro da Aldeia,106488
Japeri,105548
Itaperuna,103800
Barra do Piraí,100764
Seropédica,92563
Saquarema,90583
Três Rios,82142
Valença,76869
Guapimirim,61388
Rio Bonito,60573
Cachoeiras de Macacu,59303
Paracambi,52683
Mangaratiba,45220
Casimiro de Abreu,45041
Paraíba do Sul,44518
Paraty,43680
Santo Antônio de Pádua,42594
São Francisco de Itabapoana,42210
São Fidélis,38710
Bom Jesus do Itabapoana,37203
Vassouras,37083
São João da Barra,36423
Tanguá,34610
Armação dos Búzios,34477
Itatiaia,32064
Arraial do Cabo,30593
Piraí,29545
Iguaba Grande,28837
Paty do Alferes,27858
Bom Jardim,27616
Miracema,27154
Miguel Pereira,25581
Pinheiral,25364
Quissamã,25126
Conceição de Macabu,23398
Itaocara,23222
Cordeiro,22041
São José do Vale do Rio Preto,21916
Silva Jardim,21774
Cantagalo,20168
Porto Real,19974
Carmo,19030
Porciúncula,18960
Mendes,18648
Rio Claro,18605
Sapucaia,18249
Carapebus,16586
Sumidouro,15667
Cambuci,15514
Natividade,15311
Italva,15299
Quatis,14435
Engenheiro Paulo de Frontin,14071
Cardoso Moreira,12821
Areal,12669
Aperibé,11901
Duas Barras,11528
Varre-Sai,11106
Trajano de Moraes,10640
Santa Maria Madalena,10392
São Sebastião do Alto,9387
Rio das Flores,9344
Comendador Levy Gasparian,8576
Laje do Muriaé,7326
São José de Ubá,7206
Macuco,5623